lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,doy,pH,temp_c,DO_mgL,DO_sat,PrrTP
Green Valley,2020,August,C20041227403,4,24.9,4.54,54.7,3,27,227,7.21,24.4,1.03,12.3,-14.99555274
Green Valley,2020,August,C200412241004,10,25.4,4.76,58,4,28,224,7.99,23.8,1.94,22.8,NA
Green Valley,2020,August,C200412251004,10,25.4,4.76,58,4,28,225,7.69,24.3,2.2,26.2,15.76446686
Green Valley,2020,August,C200412261004,10,25.4,4.76,58,4,28,226,7.26,26,1.8,22.1,-6.233775216
Green Valley,2020,August,C200412271004,10,25.4,4.76,58,4,28,227,7.26,24.3,1.7,19.9,-32.01149856
Green Valley,2020,August,C200412241005,10,25.4,4.76,58,5,29,224,8.17,23.8,1.56,18.4,NA
Green Valley,2020,August,C200412251005,10,25.4,4.76,58,5,29,225,7.89,24.3,1.93,23,30.08958646
Green Valley,2020,August,C200412261005,10,25.4,4.76,58,5,29,226,7.33,26.1,2.79,34.4,12.31636095
Green Valley,2020,August,C200412271005,10,25.4,4.76,58,5,29,227,7.4,24.4,1.44,17.2,14.22302738
Green Valley,2020,August,C200412241006,10,25.4,4.76,58,6,30,224,8.18,23.9,1.49,17.6,NA
Green Valley,2020,August,C200412251006,10,25.4,4.76,58,6,30,225,8.1,24.3,1.48,17.6,46.51874755
Green Valley,2020,August,C200412261006,10,25.4,4.76,58,6,30,226,7.36,26.1,2.44,28.4,3.416768876
Green Valley,2020,August,C200412271006,10,25.4,4.76,58,6,30,227,7.37,24.4,1.56,18.6,2.776103746
Green Valley,2020,August,C20041224107,1,26.1,7.17,88.7,7,31,224,8.48,23.8,7.04,83.6,NA
Green Valley,2020,August,C20041225107,1,26.1,7.17,88.7,7,31,225,8.23,24.2,7.26,86.7,4.792349568
Green Valley,2020,August,C20041226107,1,26.1,7.17,88.7,7,31,226,7.49,25.9,6.45,79.2,23.50474697
Green Valley,2020,August,C20041227107,1,26.1,7.17,88.7,7,31,227,8.1,24.5,7.11,85.3,-8.007869092
Green Valley,2020,August,C20041224108,1,26.1,7.17,88.7,8,32,224,8.4,23.8,6.65,78.4,NA
Green Valley,2020,August,C20041225108,1,26.1,7.17,88.7,8,32,225,8.01,24.2,5.58,66.6,-28.60789942
Green Valley,2020,August,C20041226108,1,26.1,7.17,88.7,8,32,226,7.52,25.9,5.34,65.6,35.63364179
Green Valley,2020,August,C20041224109,1,26.1,7.17,88.7,9,33,224,8.55,23.9,6.98,82.8,NA
Green Valley,2020,August,C20041225109,1,26.1,7.17,88.7,9,33,225,8.12,24.3,7.27,86.9,13.32978559
Green Valley,2020,August,C20041226109,1,26.1,7.17,88.7,9,33,226,7.57,25.9,6.38,78.4,16.30317118
Green Valley,2020,October,C20041299401,4,8.4,8.65,73.8,1,34,299,8.64,12.3,10.6,99.1,NA
Green Valley,2020,October,C20041300401,4,8.4,8.65,73.8,1,34,300,8.7,12.4,10.55,99.2,-6.483264769
Green Valley,2020,October,C20041301401,4,8.4,8.65,73.8,1,34,301,8.56,12.2,10,93.3,6.403457997
Green Valley,2020,October,C20041302401,4,8.4,8.65,73.8,1,34,302,8.48,12.9,10.01,94.7,-8.31073768
Green Valley,2020,October,C20041299402,4,8.4,8.65,73.8,2,35,299,8.36,10.5,10.4,93.3,NA
Green Valley,2020,October,C20041300402,4,8.4,8.65,73.8,2,35,300,8.5,10.5,10.7,95.9,-4.525116427
Green Valley,2020,October,C20041301402,4,8.4,8.65,73.8,2,35,301,8.43,10.7,10.31,92.9,-3.45389366
Green Valley,2020,October,C20041302402,4,8.4,8.65,73.8,2,35,302,8.44,11.1,10.38,94.3,-2.060658069
Green Valley,2020,October,C20041299403,4,8.4,8.65,73.8,3,36,299,8.47,10.3,10.87,97.3,NA
Green Valley,2020,October,C20041300403,4,8.4,8.65,73.8,3,36,300,8.49,9.9,10.87,96.2,0.230763112
Green Valley,2020,October,C20041301403,4,8.4,8.65,73.8,3,36,301,8.36,9.9,10.52,93.1,1.705665418
Green Valley,2020,October,C20041302403,4,8.4,8.65,73.8,3,36,302,8.28,10.6,9.92,89.2,3.135816427
Green Valley,2020,October,C200412991004,10,8.1,8.71,73.7,4,37,299,8.43,10.4,10.76,96.5,NA
Green Valley,2020,October,C200413001004,10,8.1,8.71,73.7,4,37,300,8.48,10.2,10.79,95.9,-0.326183285
Green Valley,2020,October,C200413011004,10,8.1,8.71,73.7,4,37,301,8.41,10.2,10.64,94.8,-0.061784294
Green Valley,2020,October,C200413021004,10,8.1,8.71,73.7,4,37,302,8.39,11.4,10.4,95.4,-2.789589337
Green Valley,2020,October,C200412991005,10,8.1,8.71,73.7,5,38,299,8.6,9.9,11.12,98.4,NA
Green Valley,2020,October,C200413001005,10,8.1,8.71,73.7,5,38,300,8.41,9.9,10.23,90.3,2.792959294
Green Valley,2020,October,C200413011005,10,8.1,8.71,73.7,5,38,301,8.24,10.1,9.3,82.7,0.729280043
Green Valley,2020,October,C200413021005,10,8.1,8.71,73.7,5,38,302,8.19,10.7,8.76,79,-0.795335447
Green Valley,2020,October,C200412991006,10,8.1,8.71,73.7,6,39,299,8.39,10.5,10.5,94.2,NA
Green Valley,2020,October,C200413001006,10,8.1,8.71,73.7,6,39,300,8.36,10.2,10.42,92.8,1.706298559
Green Valley,2020,October,C200413011006,10,8.1,8.71,73.7,6,39,301,8.3,10.1,10.46,93.1,1.147268012
Green Valley,2020,October,C200413021006,10,8.1,8.71,73.7,6,39,302,8.3,11,10.05,91.5,0.144287032
Green Valley,2020,October,C20041299107,1,6.7,10.19,83.3,7,40,299,8.52,10.3,10.8,96.4,NA
Green Valley,2020,October,C20041300107,1,6.7,10.19,83.3,7,40,300,8.43,10,10.86,96.3,-2.381038112
Green Valley,2020,October,C20041301107,1,6.7,10.19,83.3,7,40,301,8.45,10,10.78,95.6,0.226820965
Green Valley,2020,October,C20041302107,1,6.7,10.19,83.3,7,40,302,8.48,11.4,10.61,97.4,4.069385519
Green Valley,2020,October,C20041299108,1,6.7,10.19,83.3,8,41,299,8.48,10,10.92,96.6,NA
Green Valley,2020,October,C20041300108,1,6.7,10.19,83.3,8,41,300,8.42,10,10.86,96.3,2.072110663
Green Valley,2020,October,C20041301108,1,6.7,10.19,83.3,8,41,301,8.33,10,10.31,91.6,1.153819452
Green Valley,2020,October,C20041302108,1,6.7,10.19,83.3,8,41,302,8.3,11.2,10.12,92.1,-2.768302017
Green Valley,2020,October,C20041299109,1,6.7,10.19,83.3,9,42,299,8.45,9.4,11,96.2,NA
Green Valley,2020,October,C20041300109,1,6.7,10.19,83.3,9,42,300,8.36,9.6,10.87,95.6,-4.259801153
Green Valley,2020,October,C20041301109,1,6.7,10.19,83.3,9,42,301,8.35,9.6,10.64,93.4,0.688897695
Green Valley,2020,October,C20041302109,1,6.7,10.19,83.3,9,42,302,8.18,11,10.17,92.4,-5.399737032
Green Valley,2019,July,C1904120401o1,1,NA,7,NA,1,43,204,7.44,20,NA,NA,NA
Green Valley,2019,July,C1904120601o1,1,NA,7,NA,1,43,206,6.83,20,NA,NA,-20.83474885
Green Valley,2019,July,C1904120701o1,1,NA,7,NA,1,43,207,7.21,20,NA,NA,-14.8784634
Green Valley,2019,July,C1904120801o1,1,NA,7,NA,1,43,208,6.73,20,NA,NA,-19.70685865
Green Valley,2019,July,C1904120401o2,1,NA,7,NA,2,44,204,8.77,20,NA,NA,NA
Green Valley,2019,July,C1904120501o2,1,NA,7,NA,2,44,205,8.24,20,NA,NA,-34.06404179
Green Valley,2019,July,C1904120601o2,1,NA,7,NA,2,44,206,7.69,20,NA,NA,11.51508357
Green Valley,2019,July,C1904120701o2,1,NA,7,NA,2,44,207,7.39,20,NA,NA,-5.792917867
Green Valley,2019,July,C1904120801o2,1,NA,7,NA,2,44,208,7.3,20,NA,NA,-34.92940562
Green Valley,2019,July,C1904120404A19,4,NA,0.41,NA,19,49,204,8.74,20,NA,NA,NA
Green Valley,2019,July,C1904120504A19,4,NA,0.41,NA,19,49,205,8.79,20,NA,NA,-23.92706628
Green Valley,2019,July,C1904120604A19,4,NA,0.41,NA,19,49,206,8.49,20,NA,NA,-13.64563804
Green Valley,2019,July,C1904120704A19,4,NA,0.41,NA,19,49,207,8.4,20,NA,NA,11.95322709
Green Valley,2019,July,C1904120804A19,4,NA,0.41,NA,19,49,208,8.64,20,NA,NA,-2.812332853
Green Valley,2019,July,C1904120404A20,4,NA,0.41,NA,20,50,204,8.91,20,NA,NA,NA
Green Valley,2019,July,C1904120504A20,4,NA,0.41,NA,20,50,205,9.02,20,NA,NA,-2.067309251
Green Valley,2019,July,C1904120604A20,4,NA,0.41,NA,20,50,206,8.73,20,NA,NA,-21.05734758
Green Valley,2019,July,C1904120704A20,4,NA,0.41,NA,20,50,207,8.53,20,NA,NA,-1.534602968
Green Valley,2019,July,C1904120804A20,4,NA,0.41,NA,20,50,208,8.72,20,NA,NA,-6.320339669
