datetime,wtr_0.5,wtr_1.5,wtr_2
2020-05-05 08:00,16.80777778,16.61777778,16.61777778
2020-05-05 09:00,16.99888889,16.61777778,16.71277778
2020-05-05 10:00,16.71277778,16.52277778,16.52277778
2020-05-05 11:00,16.61777778,16.42722222,16.52277778
2020-05-05 12:00,16.80777778,16.52277778,16.52277778
2020-05-05 13:00,16.80777778,16.42722222,16.52277778
2020-05-05 14:00,16.61777778,16.42722222,16.42722222
2020-05-05 15:00,16.42722222,16.33222222,16.42722222
2020-05-05 16:00,16.71277778,16.33222222,16.42722222
2020-05-05 17:00,16.42722222,16.23722222,16.33222222
2020-05-05 18:00,16.42722222,16.14111111,16.23722222
2020-05-05 19:00,16.14111111,16.04611111,16.14111111
2020-05-05 20:00,16.04611111,16.04611111,16.04611111
2020-05-05 21:00,15.95111111,15.95111111,15.95111111
2020-05-05 22:00,15.855,15.855,15.855
2020-05-05 23:00,15.76,15.76,15.76
2020-05-06 00:00,15.66388889,15.66388889,15.66388889
2020-05-06 01:00,15.66388889,15.56888889,15.66388889
2020-05-06 02:00,15.56888889,15.47277778,15.56888889
2020-05-06 03:00,15.47277778,15.37777778,15.47277778
2020-05-06 04:00,15.37777778,15.37777778,15.37777778
2020-05-06 05:00,15.28222222,15.28222222,15.28222222
2020-05-06 06:00,15.28222222,15.18722222,15.28222222
2020-05-06 07:00,15.18722222,15.18722222,15.18722222
2020-05-06 08:00,15.28222222,15.09111111,15.09111111
2020-05-06 09:00,15.28222222,15.09111111,15.09111111
2020-05-06 10:00,15.56888889,15.18722222,15.18722222
2020-05-06 11:00,15.76,15.28222222,15.18722222
2020-05-06 12:00,15.56888889,15.28222222,15.28222222
2020-05-06 13:00,15.66388889,15.37777778,15.37777778
2020-05-06 14:00,15.76,15.37777778,15.28222222
2020-05-06 15:00,15.76,15.47277778,15.37777778
2020-05-06 16:00,15.95111111,15.56888889,15.47277778
2020-05-06 17:00,16.42722222,15.66388889,15.66388889
2020-05-06 18:00,16.04611111,15.76,15.37777778
2020-05-06 19:00,15.95111111,15.47277778,15.47277778
2020-05-06 20:00,15.76,15.66388889,15.47277778
2020-05-06 21:00,15.66388889,15.66388889,15.47277778
2020-05-06 22:00,15.56888889,15.56888889,15.47277778
2020-05-06 23:00,15.47277778,15.47277778,15.47277778
2020-05-07 00:00,15.47277778,15.37777778,15.47277778
2020-05-07 01:00,15.37777778,15.28222222,15.37777778
2020-05-07 02:00,15.28222222,15.18722222,15.28222222
2020-05-07 03:00,15.18722222,15.18722222,15.18722222
2020-05-07 04:00,15.09111111,15.09111111,15.18722222
2020-05-07 05:00,15.09111111,14.99611111,15.09111111
2020-05-07 06:00,14.99611111,14.99611111,14.99611111
2020-05-07 07:00,14.99611111,14.9,14.99611111
2020-05-07 08:00,15.09111111,14.9,14.9
2020-05-07 09:00,15.09111111,14.9,14.80388889
2020-05-07 10:00,15.18722222,14.9,14.9
2020-05-07 11:00,15.66388889,14.99611111,14.9
2020-05-07 12:00,15.95111111,14.99611111,14.9
2020-05-07 13:00,16.42722222,14.99611111,14.9
2020-05-07 14:00,16.23722222,14.9,14.80388889
2020-05-07 15:00,15.855,14.99611111,14.80388889
2020-05-07 16:00,16.04611111,15.09111111,14.9
2020-05-07 17:00,15.76,15.56888889,15.28222222
2020-05-07 18:00,15.855,15.66388889,14.9
2020-05-07 19:00,15.76,15.37777778,14.80388889
2020-05-07 20:00,15.66388889,15.56888889,15.18722222
2020-05-07 21:00,15.66388889,15.56888889,14.9
2020-05-07 22:00,15.66388889,15.56888889,15.09111111
2020-05-07 23:00,15.56888889,15.56888889,15.09111111
2020-05-08 00:00,15.56888889,15.47277778,15.09111111
2020-05-08 01:00,15.47277778,15.37777778,15.37777778
2020-05-08 02:00,15.37777778,15.37777778,15.28222222
2020-05-08 03:00,15.28222222,15.28222222,15.28222222
2020-05-08 04:00,15.18722222,15.09111111,15.18722222
2020-05-08 05:00,14.99611111,14.99611111,15.09111111
2020-05-08 06:00,14.9,14.80388889,14.9
2020-05-08 07:00,14.80388889,14.70888889,14.80388889
2020-05-08 08:00,14.9,14.70888889,14.70888889
2020-05-08 09:00,14.99611111,14.70888889,14.70888889
2020-05-08 10:00,15.09111111,14.70888889,14.70888889
2020-05-08 11:00,15.37777778,14.80388889,14.80388889
2020-05-08 12:00,15.47277778,14.9,14.99611111
2020-05-08 13:00,15.76,15.09111111,15.18722222
2020-05-08 14:00,15.855,15.28222222,15.28222222
2020-05-08 15:00,15.855,15.47277778,15.37777778
2020-05-08 16:00,16.14111111,15.56888889,15.56888889
2020-05-08 17:00,16.14111111,15.66388889,15.66388889
2020-05-08 18:00,15.95111111,15.66388889,15.66388889
2020-05-08 19:00,15.76,15.56888889,15.66388889
