lake,year,month,sample_id,site,hypo_temp_c,hypo_DO_mgL,hypo_DO_sat,core_id,core_unique,sediment_sa_m2,water_height_pre_m,water_height_post_m,doy,pH,temp_c,DO_mgL,DO_sat,TP_mgL_1,TP_mgL_2,vol_replace_L,replace_TP_mgL_1,replace_TP_mgL_2
Green Valley,2020,June,C20041184107,1,26.5,5.41,67.4,7,22,0.001735,0.305,0.29,184,7.53,23,7.79,91,0.2182,0.2117,0.05,0.2235,0.1945
Green Valley,2020,June,C20041184108,1,26.5,5.41,67.4,8,23,0.001735,0.308,0.284,184,7.71,23.1,7.5,87.7,0.3877,0.3895,0.05,0.2235,0.1945
Green Valley,2020,June,C20041184109,1,26.5,5.41,67.4,9,24,0.001735,0.329,0.31,184,7.14,23.1,6.2,72.5,0.3563,0.3554,0.05,0.2235,0.1945
Green Valley,2020,June,C20041185401,4,24.2,0.28,3.3,1,16,0.001735,0.264,0.246,185,8.38,23.2,1.45,17,0.4195,0.3809,NA,NA,NA
Green Valley,2020,June,C20041185402,4,24.2,0.28,3.3,2,17,0.001735,0.192,0.198,185,7.9,23.2,1.55,18.2,0.4522,0.4503,NA,NA,NA
Green Valley,2020,June,C20041185403,4,24.2,0.28,3.3,3,18,0.001735,0.186,0.185,185,7.94,23.2,1.42,16.4,0.4927,0.4982,NA,NA,NA
Green Valley,2020,June,C200411851004,10,26.3,6.26,78,4,19,0.001735,0.232,0.213,185,7.45,23.3,6.95,81.5,0.2274,0.2335,NA,NA,NA
Green Valley,2020,June,C200411851005,10,26.3,6.26,78,5,20,0.001735,0.282,0.263,185,7.25,23.3,6.42,75,0.3767,0.3823,NA,NA,NA
Green Valley,2020,June,C200411851006,10,26.3,6.26,78,6,21,0.001735,0.207,0.184,185,7.14,23.3,5.81,68.2,0.2005,0.2086,NA,NA,NA
Green Valley,2020,June,C20041185107,1,26.5,5.41,67.4,7,22,0.001735,0.305,0.29,185,7.75,23.4,7.79,91.6,0.2115,0.2177,NA,NA,NA
Green Valley,2020,June,C20041185108,1,26.5,5.41,67.4,8,23,0.001735,0.308,0.284,185,7.6,23.5,7.44,87.5,0.3431,0.344,NA,NA,NA
Green Valley,2020,June,C20041185109,1,26.5,5.41,67.4,9,24,0.001735,0.329,0.31,185,7.43,23.5,7.07,83.2,0.2957,0.3027,NA,NA,NA
Green Valley,2020,August,C20041224401,4,24.9,4.54,54.7,1,25,0.001735,0.096,0.082,224,7.79,23.9,2.81,33,1.2367,1.2345,0.05,0.3049,0.3117
Green Valley,2020,August,C20041224402,4,24.9,4.54,54.7,2,26,0.001735,0.148,0.136,224,7.89,24,2.5,29.6,0.4966,0.4956,0.05,0.3049,0.3117
Green Valley,2020,August,C20041224403,4,24.9,4.54,54.7,3,27,0.001735,0.104,0.09,224,8.11,24,1.34,15.6,1.0689,1.0685,0.05,0.3049,0.3117
Green Valley,2020,August,C200412241004,10,25.4,4.76,58,4,28,0.001735,0.206,0.194,224,7.99,23.8,1.94,22.8,0.6014,0.6171,0.05,0.3171,0.3216
Green Valley,2020,August,C200412241005,10,25.4,4.76,58,5,29,0.001735,0.276,0.254,224,8.17,23.8,1.56,18.4,0.4398,0.4425,0.05,0.3171,0.3216
Green Valley,2020,August,C200412241006,10,25.4,4.76,58,6,30,0.001735,0.242,0.23,224,8.18,23.9,1.49,17.6,0.496,0.5057,0.05,0.3171,0.3216
Green Valley,2020,August,C20041224107,1,26.1,7.17,88.7,7,31,0.001735,0.34,0.323,224,8.48,23.8,7.04,83.6,0.356,0.3646,0.05,0.3583,0.3656
